uid,term,estimate,std.error,statistic,p.value,conf.low,conf.high,NRMSE,R2_flipped
287,unionunion,13.3968389602281,2.352211593773779,5.695422552838809,1.4276860955878843e-8,8.783583753871481,18.01009416658472,0.09763752789126127,0.7006476003718769
288,unionunion,17.20397516302242,2.4434124999177884,7.0409622458759085,2.6763737050812287e-12,12.411854626804566,21.996095699240275,0.09928908318462906,0.7673300919032376
289,unionunion,11.402756895484957,2.19973618637794,5.183692920131756,2.41248232115591e-7,7.088538251546506,15.716975539423409,0.09162590881789363,0.5940249244014154
290,unionunion,12.61148693491015,2.1962480954196244,5.742287021767705,1.0889653318653405e-8,8.30411080247888,16.91886306734142,0.09132323635554776,0.6005819527268074
291,unionunion,10.394041568339953,2.300051570704432,4.519047181692796,6.603514961901672e-6,5.883081599985186,14.90500153669472,0.09479411623055815,0.6502137701968136
292,unionunion,14.374424087549393,2.4057156509972435,5.975113510023826,2.749575853271944e-9,9.656232842748967,19.09261533234982,0.09696347825478743,0.7218435082752661
293,unionunion,11.063954021330865,2.1918098852350454,5.047862086881859,4.905118265292847e-7,6.7652822974132025,15.362625745248527,0.09150404388327515,0.5946302831669484
294,unionunion,12.279930891764442,2.1876957057483626,5.61318050746173,2.285971084325604e-8,7.989329581143779,16.570532202385106,0.09119495656286322,0.6011110106449017
295,unionunion,10.071004583029884,2.2914970240417385,4.394945521363438,1.1706074303953597e-5,5.57682373840755,14.565185427652217,0.09462202335937785,0.6507081002256261
296,unionunion,14.10921037250634,2.3953558511341804,5.890235626504409,4.56704913805089e-9,9.41133885424177,18.80708189077091,0.09671380819770488,0.7219917079612358
297,unionunion,11.58457769163103,2.2560058940673455,5.134994426253574,3.1174114776182105e-7,7.160001996837635,16.009153386424423,0.09363128847829731,0.6248480559166583
298,unionunion,12.651784457978772,2.249202707710547,5.625008548410012,2.1371761188029864e-8,8.240553014685696,17.063015901271847,0.09330565206699315,0.6298951621077429
299,unionunion,10.566994624578525,2.3563079645761182,4.484555832021493,7.75338026653229e-6,5.945703823270399,15.18828542588665,0.09665904173930444,0.6824510460356413
300,unionunion,14.398597570605325,2.450581629149352,5.875583738707524,4.981870014685662e-9,9.592414959653365,19.204780181557286,0.0983962271620233,0.7490200322271142
301,unionunion,12.22015519130928,2.247560625507498,5.437074779039598,6.13253775443205e-8,7.812144269057606,16.62816611356095,0.0938689951264432,0.6269752184229448
302,unionunion,13.271637042236648,2.2407171348010015,5.922941738656943,3.758765086677485e-9,8.87704940587992,17.666224678593377,0.0935514138916855,0.6319495990590052
303,unionunion,11.243789337859663,2.3478099806228343,4.789054238059281,1.8084337556603808e-6,6.639166758278081,15.848411917441247,0.09689033931614514,0.6849018855683063
304,unionunion,15.068944062290328,2.4410788308469025,6.173067363442065,8.20270038758232e-10,10.281400413306907,19.85648771127375,0.09863572252041765,0.7513905021156811
305,unionunion,13.3309897653993,2.19612469628723,6.070233529059931,1.5448480721913904e-9,9.023855648648656,17.638123882149944,0.0922320760249548,0.6051165229697856
