contiguous,stnameF1,stname,all_mig_count,all_trate100_ij,TF_count,ACS_allpop,ACS_allpopF1,wint_temp_ij,sun_ij,humid_ij,topog_ij,water_ij,temp_dif_ij,state_sales_ij,unemp_ij,prop_tax_ij,meaninc_ij,log_distance_ij,log_allpop_i,log_allpop_j,log_all_mig_count,log_ACS_pop_i,log_ACS_pop_j,log_ACS_count
0,Kentucky,Arkansas,4213.0,-0.342103,4438.0,12843436.5,19107787.5,-0.5599998,-18.75,3.6349983,3.7383327,-0.24963333,1.5139999,-0.4519229,-0.8838463,-0.1774391,-0.7387676,-0.7945251,16.27857,16.73179,8.34593,16.368343,16.765606,8.397959
1,Louisiana,Arkansas,16906.0,2.4922504,16488.0,12843436.5,20406403.0,0.9400002,-9.571869,10.3672905,-7.911667,9.037543,-8.086832,1.5480771,0.12846136,0.3203389,-2.742691,-1.1654932,16.27857,16.754719,9.735424,16.368343,16.83136,9.710388
0,Massachusetts,Arkansas,1379.0,0.51112175,1307.0,12843436.5,31605861.5,-1.4100001,-6.6857147,6.9409523,-1.2866669,26.296629,3.7006683,0.25961542,0.39461517,-0.41121405,-16.826769,0.22078834,16.27857,17.271303,7.229114,16.368343,17.268852,7.17549
0,Maryland,Arkansas,2294.0,1.0463848,1894.5,12843436.5,27837935.0,-0.67999995,1.1833344,8.7266655,-4.4950004,16.623533,1.9381676,0.24038458,0.9046154,-0.29412305,-14.213385,-0.08731415,16.27857,17.095129,7.7380524,16.368343,17.14191,7.54671
0,Michigan,Arkansas,5096.0,1.2494116,4818.0,12843436.5,46563064.5,-1.9799999,-41.797585,1.3230515,-4.678233,21.63761,8.178379,-0.4519229,-1.8669229,-0.9081464,-4.3211536,-0.3564509,16.27857,17.671928,8.536211,16.368343,17.656319,8.480114
0,Minnesota,Arkansas,2843.0,0.8952999,1648.0,12843436.5,25536220.5,-2.91,-4.6528625,-3.3595428,-5.20046,2.8496828,20.501244,-1.0384612,0.7953849,-0.40684712,-10.001921,-0.36262414,16.27857,17.04021,7.9526153,16.368343,17.055609,7.4073176
1,Missouri,Arkansas,33994.0,1.4329805,31415.0,12843436.5,27617625.0,-0.9200001,12.495651,-3.4255066,2.3176813,-0.8335826,7.021103,1.3230772,-0.10153818,-0.34776306,-4.5895367,-1.4798481,16.27857,17.107931,10.433939,16.368343,17.133965,10.355041
1,Mississippi,Arkansas,12275.0,1.7409306,16082.0,12843436.5,12929494.0,0.5200001,1.2463531,6.95837,-4.2500815,0.49166343,-4.818844,-1.4519229,-1.5269232,-0.0082960725,1.4263077,-1.3888165,16.27857,16.31091,9.41532,16.368343,16.375021,9.685456
0,North Carolina,Arkansas,7517.0,-0.29280567,6822.5,12843436.5,42432805.5,0.059999846,24.540009,16.446667,-2.206667,4.2908,-3.8433304,1.0480771,-0.73076916,-0.24611807,-3.624384,-0.30905637,16.27857,17.472588,8.924922,16.368343,17.563433,8.827981
0,New Jersey,Arkansas,1657.0,3.4284277,727.5,12843436.5,42488024.5,-0.85,4.8381042,2.5599976,-2.9771433,9.068533,3.9744797,-0.8365383,-0.1138463,-1.2192963,-16.803846,0.057895523,16.27857,17.545212,7.412764,16.368343,17.564734,6.589614
0,New Mexico,Arkansas,2686.0,2.0968819,1604.0,12843436.5,9145135.5,-0.54000014,76.96364,-25.13697,2.5163631,-1.8972242,0.20824432,0.4711542,0.1546154,-0.043310046,-0.4788456,-0.25063634,16.27857,15.927397,7.895808,16.368343,16.028732,7.3802557
0,Nevada,Arkansas,3050.0,4.8991365,2847.5,12843436.5,12651003.5,-0.92999995,52.600006,-41.243923,2.507451,-0.6736235,2.0212555,-1.032692,-1.100769,-0.14169806,-7.0538464,0.27778357,16.27857,16.16458,8.022897,16.368343,16.353247,7.954197
0,New York,Arkansas,3992.0,1.3850231,2584.5,12843436.5,92115094.0,-1.82,-29.125801,4.4040833,1.6488171,9.796006,7.5877647,1.5288463,-0.27230787,-0.68724597,-13.791231,0.068454854,16.27857,18.308846,8.2920475,16.368343,18.338549,7.8572874
0,Ohio,Arkansas,4680.0,1.7324457,5019.0,12843436.5,54447820.5,-1.2,-32.94545,2.1584854,-1.7639399,3.0412228,4.776806,0.16346169,-0.6730766,-0.7787459,-4.649229,-0.42684516,16.27857,17.864815,8.451054,16.368343,17.812754,8.520986
1,Oklahoma,Arkansas,34570.0,0.42381287,32602.5,12843436.5,16839964.0,-0.24000016,32.846756,-13.981125,-3.4360175,-0.081812985,3.9026146,1.0480771,0.9661541,-0.21517515,-2.6362305,-1.4347184,16.27857,16.519926,10.450742,16.368343,16.639265,10.392144
0,Pennsylvania,Arkansas,3066.0,1.9330139,4392.0,12843436.5,59236899.0,-1.3100001,-22.713425,3.2565155,5.496915,-0.19718806,4.3432045,-0.4519229,0.062307835,-0.89739573,-7.388769,-0.07297056,16.27857,17.932892,8.028129,16.368343,17.897055,8.38754
0,Rhode Island,Arkansas,273.0,2.204152,307.0,12843436.5,5039136.5,-1.01,20.600006,8.2266655,-2.7866669,31.3652,2.810669,-1.4519229,-0.85615396,-0.7079158,-8.322691,0.2095947,16.27857,15.440188,5.609472,16.368343,15.432745,5.7268476
0,South Carolina,Arkansas,3383.0,0.78799725,3014.0,12843436.5,20343533.0,0.45999986,29.578262,14.248402,-5.786667,2.4219391,-5.544983,0.24038458,-1.2784615,-0.023815095,-1.0003834,-0.40362793,16.27857,16.761093,8.126518,16.368343,16.828274,8.0110235
1,Tennessee,Arkansas,24847.0,4.8991365,24543.5,12843436.5,28246650.5,-0.24000016,-16.663147,4.2266655,3.0028067,0.4795158,-1.021965,-1.0673075,-0.51461554,-0.17249298,-3.25346,-1.0273649,16.27857,17.117764,10.120492,16.368343,17.156485,10.108202
1,Texas,Arkansas,71716.0,4.899185,63523.0,12843436.5,114306508.0,0.64000016,35.19055,-16.722153,-4.396903,0.69370395,-2.7997246,-0.7019229,-0.16076899,-1.300246,-5.4036922,-0.9164312,16.27857,18.376646,11.1804695,16.368343,18.554394,11.059157
0,Utah,Arkansas,1525.0,0.6775627,611.5,12843436.5,12906366.0,-1.3299999,3.0482788,-39.325058,6.489195,2.2741656,6.8748055,0.52884626,0.82846165,-0.10531807,-0.97992325,0.106945775,16.27857,16.103764,7.3297496,16.368343,16.373232,6.415915
