Filename,Code Path,outliers,feminity,feminity_prediction_levels,damage,predictors,covariates,back_transform,df,Model
universe_53.R,_start->Model->O,c(),masfem,,dam,feminity + damage + z3,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_54.R,_start->Model->O,c(),masfem,,dam,feminity + damage + z3,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_55.R,_start->Model->O,c(),masfem,,log_dam,feminity * damage,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_56.R,_start->Model->O,c(),masfem,,log_dam,feminity * damage,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_57.R,_start->Model->O,c(),masfem,,log_dam,feminity * damage,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_58.R,_start->Model->O,c(),masfem,,log_dam,feminity + damage + pressure + feminity:damage + feminity:pressure,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_59.R,_start->Model->O,c(),masfem,,log_dam,feminity + damage + pressure + feminity:damage + feminity:pressure,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_60.R,_start->Model->O,c(),masfem,,log_dam,feminity + damage + pressure + feminity:damage + feminity:pressure,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_61.R,_start->Model->O,c(),masfem,,log_dam,feminity + damage + zwin + feminity:damage + feminity:zwin,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_62.R,_start->Model->O,c(),masfem,,log_dam,feminity + damage + zwin + feminity:damage + feminity:zwin,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_63.R,_start->Model->O,c(),masfem,,log_dam,feminity + damage + zwin + feminity:damage + feminity:zwin,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_64.R,_start->Model->O,c(),masfem,,log_dam,feminity + damage + zcat + feminity:damage + feminity:zcat,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_65.R,_start->Model->O,c(),masfem,,log_dam,feminity + damage + zcat + feminity:damage + feminity:zcat,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_66.R,_start->Model->O,c(),masfem,,log_dam,feminity + damage + zcat + feminity:damage + feminity:zcat,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_67.R,_start->Model->O,c(),masfem,,log_dam,feminity + damage + z3 + feminity:damage + feminity:z3,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_68.R,_start->Model->O,c(),masfem,,log_dam,feminity + damage + z3 + feminity:damage + feminity:z3,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_69.R,_start->Model->O,c(),masfem,,log_dam,feminity + damage + z3 + feminity:damage + feminity:z3,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_70.R,_start->Model->O,c(),masfem,,log_dam,feminity + damage + z3,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_71.R,_start->Model->O,c(),masfem,,log_dam,feminity + damage + z3,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_72.R,_start->Model->O,c(),masfem,,log_dam,feminity + damage + z3,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_73.R,_start->Model->O,c('Katrina'),female,,dam,feminity * damage,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_74.R,_start->Model->O,c('Katrina'),female,,dam,feminity * damage,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_75.R,_start->Model->O,c('Katrina'),female,,dam,feminity * damage,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_76.R,_start->Model->O,c('Katrina'),female,,dam,feminity + damage + pressure + feminity:damage + feminity:pressure,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_77.R,_start->Model->O,c('Katrina'),female,,dam,feminity + damage + pressure + feminity:damage + feminity:pressure,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_78.R,_start->Model->O,c('Katrina'),female,,dam,feminity + damage + pressure + feminity:damage + feminity:pressure,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_79.R,_start->Model->O,c('Katrina'),female,,dam,feminity + damage + zwin + feminity:damage + feminity:zwin,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_80.R,_start->Model->O,c('Katrina'),female,,dam,feminity + damage + zwin + feminity:damage + feminity:zwin,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_81.R,_start->Model->O,c('Katrina'),female,,dam,feminity + damage + zwin + feminity:damage + feminity:zwin,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_82.R,_start->Model->O,c('Katrina'),female,,dam,feminity + damage + zcat + feminity:damage + feminity:zcat,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_83.R,_start->Model->O,c('Katrina'),female,,dam,feminity + damage + zcat + feminity:damage + feminity:zcat,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_84.R,_start->Model->O,c('Katrina'),female,,dam,feminity + damage + zcat + feminity:damage + feminity:zcat,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_85.R,_start->Model->O,c('Katrina'),female,,dam,feminity + damage + z3 + feminity:damage + feminity:z3,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_86.R,_start->Model->O,c('Katrina'),female,,dam,feminity + damage + z3 + feminity:damage + feminity:z3,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_87.R,_start->Model->O,c('Katrina'),female,,dam,feminity + damage + z3 + feminity:damage + feminity:z3,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_88.R,_start->Model->O,c('Katrina'),female,,dam,feminity + damage + z3,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_89.R,_start->Model->O,c('Katrina'),female,,dam,feminity + damage + z3,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_90.R,_start->Model->O,c('Katrina'),female,,dam,feminity + damage + z3,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
