uid,rho,eblack,pblack,einter,pinter
72,0.10788122186059766,-0.0287023362008418,0.06503883760342832,-0.052355230104921144,0.11341078790472066
73,0.1181138815739968,-0.03052993483164615,8.144784266321513e-5,-0.028980677519039016,0.03792723072531386
74,0.12147902555039965,-0.031213278308309677,4.7412824534098037e-4,-0.022681160266348817,0.13314288997844972
75,0.10788122186059766,-0.0287023362008418,0.06503883760342832,-0.052355230104921144,0.11341078790472066
76,0.10700369147722841,-0.03075213063646714,7.378108783670636e-5,-0.032368542602277756,0.027986830858413293
77,0.11957713457365009,-0.0309453824605342,5.329918532366984e-4,-0.03015089368142402,0.06283062510852602
78,0.07477022404124209,-0.03013988654416183,0.053250694130716675,-0.042744012160352785,0.1615615126616838
79,0.10022270320522228,-0.030996276585680455,6.530620245058971e-5,-0.02178021865272456,0.1241721679391829
80,0.11473206673616122,-0.03180514278355614,3.7225971619026877e-4,-0.028081662101310925,0.08457700959580632
81,0.06190968417478478,-0.029836817988407528,0.05617647378705684,-0.003585344429121874,0.9052811077163521
82,0.12057805376336111,-0.03098506351890025,6.310835963361972e-5,-0.02849848721230039,0.04533047742279021
83,0.12047342325606397,-0.03183299102946476,3.6433155056110286e-4,-0.021465997055025568,0.16156944448442045
84,0.12124526643041844,-0.028456963317570985,0.06690411086689924,-0.05363184326127077,0.11823140690965363
85,0.12462270323798312,-0.031133133503286406,5.7651702613664055e-5,-0.040849543094594334,0.003984868668903684
86,0.13228171499089666,-0.031103302565812875,4.8753180086476955e-4,-0.04074477563544555,0.008905625985149528
87,0.09814000776025006,-0.030739101767727765,0.04818029162173809,-0.042749119813557904,0.20956127040564584
88,0.10681662621762446,-0.0324085101186847,2.9322899026106234e-5,-0.00585290007396088,0.20183338480598018
89,0.11556263831001827,-0.033312367282691865,1.928282142338886e-4,-0.0016705233920956755,0.7551419425996835
90,0.09949497978701706,-0.030156932196133083,0.052563493103260556,-0.02277989873491868,0.01660305715084295
